Date,London Effect
Feb 1995,1.0077328915827966
Mar 1995,1.0096010320810171
Apr 1995,1.0042261216764612
May 1995,1.0077987824083472
Jun 1995,1.014074422174374
Jul 1995,1.0005054031604508
Aug 1995,1.0000946997760476
Sep 1995,1.0070171735073148
Oct 1995,1.003966228580141
Nov 1995,1.0090600027661214
Dec 1995,1.0156453036402628
Jan 1996,1.001712340652027
Feb 1996,1.0086299884368606
Mar 1996,1.012358096477632
Apr 1996,1.008591919469837
May 1996,1.0154489569831102
Jun 1996,1.0244466497164184
Jul 1996,1.0170328628355616
Aug 1996,1.0221184664151373
Sep 1996,1.031556746370813
Oct 1996,1.0354939374757361
Nov 1996,1.0422202195489407
Dec 1996,1.0493591022732707
Jan 1997,1.0484188579656122
Feb 1997,1.0560881468441814
Mar 1997,1.0684218207069751
Apr 1997,1.07029626046535
May 1997,1.0806962321402553
Jun 1997,1.0915582438403777
Jul 1997,1.0924657834964788
Aug 1997,1.1042603450319444
Sep 1997,1.1133994784200032
Oct 1997,1.1218206198944691
Nov 1997,1.1297305136966502
Dec 1997,1.1387481908971726
Jan 1998,1.1391884208945207
Feb 1998,1.1485463264580003
Mar 1998,1.1552201497047825
Apr 1998,1.162341476174777
May 1998,1.1715834228709767
Jun 1998,1.181183527403489
Jul 1998,1.1854577301473002
Aug 1998,1.192466349129896
Sep 1998,1.1996750152742786
Oct 1998,1.2058840250532563
Nov 1998,1.212709216497776
Dec 1998,1.2214353112984215
Jan 1999,1.2171332829078658
Feb 1999,1.223947300775327
Mar 1999,1.2325494361690723
Apr 1999,1.2438444193651443
May 1999,1.2536233291294177
Jun 1999,1.2658092350508874
Jul 1999,1.2752704558947272
Aug 1999,1.2922519219887016
Sep 1999,1.3040373449384026
Oct 1999,1.3189017998470656
Nov 1999,1.3331406882928456
Dec 1999,1.352687009084474
Jan 2000,1.3569679832221329
Feb 2000,1.3689781193512134
Mar 2000,1.3869784190785575
Apr 2000,1.4052905514865384
May 2000,1.4196977772431356
Jun 2000,1.439354808508363
Jul 2000,1.44823471108241
Aug 2000,1.4636243879235407
Sep 2000,1.4665351887449987
Oct 2000,1.4745683197025696
Nov 2000,1.481346724142153
Dec 2000,1.4991297756864796
Jan 2001,1.4960654371285254
Feb 2001,1.5105764478689632
Mar 2001,1.521258735734809
Apr 2001,1.5441731675490447
May 2001,1.5622664446490573
Jun 2001,1.583132957782241
Jul 2001,1.597164037019849
Aug 2001,1.6176723839715215
Sep 2001,1.6330260599732653
Oct 2001,1.645329635241416
Nov 2001,1.6565362499997995
Dec 2001,1.6831580028947066
Jan 2002,1.6818067031200872
Feb 2002,1.6968780086984132
Mar 2002,1.7230306554699906
Apr 2002,1.7551413800964268
May 2002,1.7920922375839
Jun 2002,1.8420121269561291
Jul 2002,1.869864694642668
Aug 2002,1.9112761239658325
Sep 2002,1.9410706430061828
Oct 2002,1.9696047067777636
Nov 2002,2.000173362403817
Dec 2002,2.041508842048651
Jan 2003,2.0469148527619074
Feb 2003,2.073602882046613
Mar 2003,2.090436531473174
Apr 2003,2.1191799438907135
May 2003,2.1443428312838537
Jun 2003,2.180829743123812
Jul 2003,2.1913306685590603
Aug 2003,2.216314637981283
Sep 2003,2.2347220139324326
Oct 2003,2.2540569358583755
Nov 2003,2.2855178021126457
Dec 2003,2.321671026734566
Jan 2004,2.324251250779896
Feb 2004,2.3475808597583883
Mar 2004,2.3718722310027496
Apr 2004,2.419089264944073
May 2004,2.460204937364163
Jun 2004,2.504987951920084
Jul 2004,2.528839960548178
Aug 2004,2.5587307605026637
Sep 2004,2.57665572531572
Oct 2004,2.5900221532685497
Nov 2004,2.604368308722702
Dec 2004,2.615385675190268
Jan 2005,2.589337168773976
Feb 2005,2.6002323828147156
Mar 2005,2.613541874985164
Apr 2005,2.631274686824294
May 2005,2.6493336757977235
Jun 2005,2.664989108888843
Jul 2005,2.664558607439971
Aug 2005,2.673639005880315
Sep 2005,2.677265077258718
Oct 2005,2.6857833183691113
Nov 2005,2.697811576378447
Dec 2005,2.7176358446301796
Jan 2006,2.704706787213041
Feb 2006,2.725241966328698
Mar 2006,2.7473491883746206
Apr 2006,2.766779664213472
May 2006,2.787636379198535
Jun 2006,2.818950695047467
Jul 2006,2.8204881710732046
Aug 2006,2.8342800292539776
Sep 2006,2.8600527203510824
Oct 2006,2.876026418627977
Nov 2006,2.9026950657854167
Dec 2006,2.932534780557196
Jan 2007,2.922150923923215
Feb 2007,2.9402510959969987
Mar 2007,2.9696043555105187
Apr 2007,2.9931528272984456
May 2007,3.015231027968684
Jun 2007,3.043154496222504
Jul 2007,3.0498240367671667
Aug 2007,3.0674896670360834
Sep 2007,3.079450993540385
Oct 2007,3.0850962170468277
Nov 2007,3.0923284221608336
Dec 2007,3.098326761484574
Jan 2008,3.064655560988787
Feb 2008,3.064774790239997
Mar 2008,3.0509532919215863
Apr 2008,3.054894297795795
May 2008,3.0567683314498195
Jun 2008,3.0331742086171456
Jul 2008,2.9877082746688437
Aug 2008,2.9435562536305526
Sep 2008,2.894826157635726
Oct 2008,2.8429569178450382
Nov 2008,2.793356262262676
Dec 2008,2.7507125150682077
Jan 2009,2.7099535452356944
Feb 2009,2.6855945132675307
Mar 2009,2.674051441649307
Apr 2009,2.6739419850541126
May 2009,2.690163738206518
Jun 2009,2.70186300754413
Jul 2009,2.725349940505184
Aug 2009,2.7451197729207024
Sep 2009,2.7706644663609494
Oct 2009,2.7862242989764403
