"","Date","England","Wales"
"1",1995-02-01,1.01090182356685,0.989504173262872
"2",1995-03-01,1.01396546024154,0.995814195505601
"3",1995-04-01,1.00993667545394,0.989294319419308
"4",1995-05-01,1.01315410178009,0.999080501894391
"5",1995-06-01,1.02038275930228,0.997706452431474
"6",1995-07-01,1.00694241430576,0.987215808550276
"7",1995-08-01,1.00744102821249,0.990572130114868
"8",1995-09-01,1.01466578225044,0.99777592731233
"9",1995-10-01,1.01358571132928,0.979286288000599
"10",1995-11-01,1.01785192616998,1.00014564861115
"11",1995-12-01,1.02636666223479,0.991433160539024
"12",1996-01-01,1.0115428905576,0.989414890235945
"13",1996-02-01,1.01976106155657,0.990495597100082
"14",1996-03-01,1.02333982231657,0.990180293807863
"15",1996-04-01,1.02092988525152,0.998668374422101
"16",1996-05-01,1.02839205346676,0.996946449683485
"17",1996-06-01,1.03773084357146,1.00472318479126
"18",1996-07-01,1.03006271455303,1.00866947244003
"19",1996-08-01,1.03601165364068,1.00756564233381
"20",1996-09-01,1.04601330496329,1.01385395259491
"21",1996-10-01,1.04959160904364,1.01654120632517
"22",1996-11-01,1.05839100773141,1.01788967073093
"23",1996-12-01,1.06511564884799,1.01884215575911
"24",1997-01-01,1.06425283656338,1.02127243405021
"25",1997-02-01,1.0727742354516,1.02569771828718
"26",1997-03-01,1.08621371340704,1.03250177062781
"27",1997-04-01,1.08830763326337,1.03713359450297
"28",1997-05-01,1.10077518411762,1.04213034923748
"29",1997-06-01,1.11255505458025,1.05815501357328
"30",1997-07-01,1.11427868995874,1.04977030710968
"31",1997-08-01,1.12706777990503,1.05566950764708
"32",1997-09-01,1.13659974669942,1.07004641225436
"33",1997-10-01,1.14534775795709,1.07246037132853
"34",1997-11-01,1.15388548185761,1.06811658460544
"35",1997-12-01,1.16454811549567,1.08354085590855
"36",1998-01-01,1.1643516497016,1.07968725381396
"37",1998-02-01,1.17490977085202,1.0797625191589
"38",1998-03-01,1.18233261076145,1.09185609256127
"39",1998-04-01,1.19100933583311,1.09376823282098
"40",1998-05-01,1.20082406151306,1.10322186696533
"41",1998-06-01,1.21074037901861,1.10775741694355
"42",1998-07-01,1.21576162217896,1.11121081263884
"43",1998-08-01,1.22436017650745,1.109897279442
"44",1998-09-01,1.2308867071634,1.11625733575948
"45",1998-10-01,1.23732595948289,1.1261343503761
"46",1998-11-01,1.24383692475502,1.13213221924461
"47",1998-12-01,1.25368786879521,1.13683929318288
"48",1999-01-01,1.24953162600715,1.13510953018363
"49",1999-02-01,1.25758303446726,1.13308625553517
"50",1999-03-01,1.26676440750265,1.13826470509409
"51",1999-04-01,1.27861598759573,1.15438838970825
"52",1999-05-01,1.28985761452737,1.15702875078517
"53",1999-06-01,1.30480517821234,1.15826478765879
"54",1999-07-01,1.31477683111553,1.16628854541148
"55",1999-08-01,1.33300932267497,1.18464328925732
"56",1999-09-01,1.34719419110914,1.18563995824293
"57",1999-10-01,1.36346025830165,1.20002927528759
"58",1999-11-01,1.37999712221975,1.20769616488306
"59",1999-12-01,1.40073409171968,1.2185230410401
"60",2000-01-01,1.40698590126201,1.22734160198187
"61",2000-02-01,1.42173019618865,1.22208635077122
"62",2000-03-01,1.44078344926795,1.23593654451974
"63",2000-04-01,1.46076422541763,1.25229745687056
"64",2000-05-01,1.47598227017311,1.25665681527369
"65",2000-06-01,1.49726537598962,1.27434238439398
"66",2000-07-01,1.50702595030276,1.27472215299776
"67",2000-08-01,1.52222831639751,1.2809113105884
"68",2000-09-01,1.52448366512277,1.29610834927643
"69",2000-10-01,1.53283553807527,1.29780544536026
"70",2000-11-01,1.53924956967041,1.30583983089802
"71",2000-12-01,1.55886038823072,1.31137302011279
"72",2001-01-01,1.55953432413271,1.30868505503491
"73",2001-02-01,1.57214631283483,1.31779392936676
"74",2001-03-01,1.58453048135331,1.31817064006423
"75",2001-04-01,1.60677311527144,1.33472609378285
"76",2001-05-01,1.6270858047003,1.34790268881463
"77",2001-06-01,1.64859275456212,1.37636378999285
"78",2001-07-01,1.66416652326515,1.38740310520846
"79",2001-08-01,1.6854839687605,1.39186124902859
"80",2001-09-01,1.70276429719246,1.4130681060466
"81",2001-10-01,1.71472815349171,1.41085807297039
"82",2001-11-01,1.72646903491421,1.42619116354527
"83",2001-12-01,1.75419418165967,1.44202748095858
"84",2002-01-01,1.75363632830798,1.43769700086896
"85",2002-02-01,1.76957797611848,1.4589654154422
"86",2002-03-01,1.79456780559414,1.47878992721476
"87",2002-04-01,1.8283423770539,1.49569139310687
"88",2002-05-01,1.86408682710737,1.52906953617117
"89",2002-06-01,1.91473660183249,1.58295571403827
"90",2002-07-01,1.94267139953829,1.59692271714473
"91",2002-08-01,1.98411148568725,1.65334891352231
"92",2002-09-01,2.01414368202475,1.6548327234852
"93",2002-10-01,2.04229903501496,1.6790290801928
"94",2002-11-01,2.07197600633275,1.7182427622385
"95",2002-12-01,2.11221772355796,1.75144788421587
"96",2003-01-01,2.1193143150638,1.75221008491547
"97",2003-02-01,2.14430916494956,1.79059826262988
"98",2003-03-01,2.15993401760165,1.80690660479173
"99",2003-04-01,2.18564532430005,1.84567578742278
"100",2003-05-01,2.20978255951327,1.87616810111513
"101",2003-06-01,2.24062497872934,1.9214945923508
"102",2003-07-01,2.24910988948382,1.94083443135506
"103",2003-08-01,2.27096862663942,1.97827832832929
"104",2003-09-01,2.28762572584277,2.00007124344581
"105",2003-10-01,2.30658028782053,2.0184866743565
"106",2003-11-01,2.3352455889043,2.07966518842306
"107",2003-12-01,2.36897083967958,2.12568330632143
"108",2004-01-01,2.36790107591861,2.15140642179906
"109",2004-02-01,2.39205763486931,2.162730866402
"110",2004-03-01,2.4157618362998,2.18703254215972
"111",2004-04-01,2.4596892766753,2.25991307946484
"112",2004-05-01,2.49997390891859,2.30329137459633
"113",2004-06-01,2.53880777063983,2.3860042545281
"114",2004-07-01,2.5609971780486,2.4193164001212
"115",2004-08-01,2.59098426052976,2.46183747315266
