Date,England and Wales,England,Wales,London Effect
Feb 1995,1.0100826532128087,1.0108231965387409,0.9888109671136593,1.0077409532177564
Mar 1995,1.0135811146446274,1.0140710728655773,0.994697001615565,1.009683217631269
Apr 1995,1.0093375631832053,1.0100256727582893,0.9880887399050688,1.0042754818486186
May 1995,1.0124015123917467,1.0131565024081286,0.9989116807858021,1.007807054676251
Jun 1995,1.0195411076944034,1.0203474264817585,0.9972098164649219,1.0139378618802528
Jul 1995,1.006273790460363,1.0069556736713847,0.9875455395803003,1.000439739295191
Aug 1995,1.0068677319808192,1.007384128454603,0.9903624344476462,1.0000507890093817
Sep 1995,1.0146184084990741,1.0145377378156113,0.9976362766074951,1.0068951792788452
Oct 1995,1.0125059632450257,1.0135730706941313,0.9787865624480977,1.0041301930139068
Nov 1995,1.017429102561556,1.017632455576376,0.999567816096564,1.0090472508007782
Dec 1995,1.0253165359696794,1.0262705612306873,0.9906679109158606,1.0156239615003422
Jan 1996,1.0103399274646492,1.0112772104735608,0.9885376945533533,1.001851464999868
Feb 1996,1.0185955606053823,1.0195559956283804,0.9893816021158491,1.0085556171536607
Mar 1996,1.0228419049795685,1.0233878415945388,0.9890126225651631,1.0124091633418297
Apr 1996,1.0205983973179662,1.020846340026117,0.9985795676952876,1.0087458403300464
May 1996,1.0272736005089111,1.0283026705683285,0.9964534718910729,1.015569562861296
Jun 1996,1.036486193001302,1.0375237222864873,1.0036248981506635,1.0245306129556622
Jul 1996,1.0292885956494635,1.029854285334997,1.0078467208470379,1.0170658953509912
Aug 1996,1.035416649665823,1.0359214624133353,1.0078014788112122,1.0220741489108505
Sep 1996,1.0449848008180882,1.0458414548286514,1.0131853401823718,1.0315675654229888
Oct 1996,1.048759281237733,1.0494128490897312,1.0164735106818517,1.0354181886346592
Nov 1996,1.0572716670424618,1.058330052785776,1.0166943105571726,1.042248715721896
Dec 1996,1.063563426437307,1.065166250116633,1.0184995525509797,1.0493252090571916
Jan 1997,1.062645465697471,1.0640860570477602,1.0206636164291365,1.0485095451851392
Feb 1997,1.0714257626183903,1.0726600549427525,1.0257569271958618,1.0561178666498328
Mar 1997,1.0847090589770116,1.0861721381891702,1.0317364891646623,1.068539010058357
Apr 1997,1.0868153412589603,1.0883028173621254,1.0370055323659302,1.0702824305896848
May 1997,1.0986648707551958,1.1007174645770388,1.0417520426702191,1.0805706429365343
Jun 1997,1.11057338954156,1.1124210885760317,1.0569844085789584,1.0916618276146823
Jul 1997,1.1119971387117802,1.1142490425707805,1.048986288726419,1.0923085210414523
Aug 1997,1.1243726793285478,1.1269287491721096,1.055076347384011,1.1043481636013006
Sep 1997,1.1342418756587715,1.1365128375044833,1.0693676359521544,1.1135719952076923
Oct 1997,1.1428344959412382,1.1453865555530451,1.0720887697062642,1.121795778735998
Nov 1997,1.1509277589430562,1.1539761895902516,1.0675880810761103,1.129833355461274
Dec 1997,1.1615955292187117,1.1644119914281716,1.0827841861639214,1.1388412510907906
Jan 1998,1.1610722792886703,1.1642540312532381,1.0789462515012456,1.1391751875318181
Feb 1998,1.1712111163290249,1.1747380784200196,1.0793788330783611,1.1484546229357064
Mar 1998,1.1791620107895555,1.1823130627953817,1.0914551787759723,1.1551483789986696
Apr 1998,1.1871514914317423,1.1909115276737798,1.0928849544088448,1.162372166592834
May 1998,1.197240692742355,1.200791699394216,1.102470769977485,1.1714450163039116
Jun 1998,1.2069321363878411,1.2108636821864314,1.1068756939215105,1.181066931178005
Jul 1998,1.212001439727737,1.2158396110553187,1.1106842416280807,1.1853306097203309
Aug 1998,1.219979841994585,1.2243556886526699,1.1095429690083607,1.1924612883908083
Sep 1998,1.2266398308851867,1.2309174721656082,1.1158772057460518,1.1997297404163587
Oct 1998,1.2332113990308287,1.2372549057803757,1.1257236433377735,1.2058905601927399
Nov 1998,1.2397214786013573,1.2437934149772754,1.1314263892085124,1.212667205535081
Dec 1998,1.249444722482566,1.253600670889292,1.1361775969671555,1.2214225157460483
Jan 1999,1.2451847492115333,1.2494459047023914,1.1342279155497859,1.2171813300146554
Feb 1999,1.2529742225292906,1.2574027665802783,1.1328653459564781,1.2240153397485751
Mar 1999,1.261915530283213,1.2665736277621902,1.1376188749480083,1.2326959578071672
Apr 1999,1.2737855849405972,1.2784340497934552,1.1538603328808388,1.2439525604466073
May 1999,1.284896138825731,1.289756042227712,1.1562246538253464,1.2537088208164633
Jun 1999,1.299235308084271,1.3048072091614586,1.157202718991293,1.2658621037169158
Jul 1999,1.3090727236683073,1.3146400158778089,1.1652686783629094,1.2753244704651707
Aug 1999,1.3275008629304608,1.3329719433231828,1.1845284012072073,1.292214786343557
Sep 1999,1.3407511798228948,1.347093725311154,1.1842204318241434,1.3040773314243292
Oct 1999,1.3569589612776536,1.3634314723910388,1.1996285627979977,1.318952612491725
Nov 1999,1.3731745980540806,1.3800475816515465,1.2061407803707138,1.3331711518666314
Dec 1999,1.3932287057565163,1.400630719763875,1.2178637282737017,1.3527373775596931
Jan 2000,1.3999850890565746,1.4070919220462184,1.225908920602512,1.3571680879912225
Feb 2000,1.4133234453314836,1.4216656598831767,1.2203749437713214,1.3691243111392448
Mar 2000,1.4321296964737236,1.4406351742788965,1.2357277826814548,1.3870265829023574
Apr 2000,1.4518407082692495,1.4607160915255626,1.251435415990443,1.405219683477582
May 2000,1.467072777944192,1.4761928627227532,1.2561579323450374,1.4195709102948966
Jun 2000,1.48780433001368,1.49725482550966,1.274159674229434,1.4393712087474007
Jul 2000,1.4969779451958067,1.5072296670169327,1.272981374384124,1.4482715105255104
Aug 2000,1.5117378001874904,1.5223491033616927,1.280654272600408,1.4636170454624926
Sep 2000,1.5146697790137407,1.524674454789495,1.295097221578494,1.4666093557481366
Oct 2000,1.5227444944830895,1.532823151807185,1.297099189241633,1.4744683932596325
Nov 2000,1.5293268721755615,1.5391967851528936,1.3048421330362656,1.4812464830958094
Dec 2000,1.5482513040631227,1.5588761733179135,1.310056547141034,1.4991936664484307
Jan 2001,1.5492762672652511,1.5593253471927275,1.3071543343019862,1.4963340672634013
Feb 2001,1.5611972163371968,1.5720587527523922,1.315297603741651,1.5108071375905938
Mar 2001,1.573150983566753,1.5845244706375976,1.3172423963527564,1.5213217117988158
Apr 2001,1.5957918326263096,1.6068089168063455,1.3335329903293023,1.5441916179735942
May 2001,1.6158100289800374,1.6270722224935126,1.3464386720763248,1.5621131375422888
Jun 2001,1.6370628435621937,1.648629103879169,1.3753535390912808,1.5831585367050178
Jul 2001,1.652701976890512,1.6643801449726185,1.3873919378174313,1.5969192425121754
Aug 2001,1.6731374724773211,1.6855439364326332,1.3914204796468532,1.6176388568036282
Sep 2001,1.690776839762133,1.7028872338739625,1.4123985441715838,1.6329341033495457
Oct 2001,1.7018851248293398,1.7149299351092757,1.4098700640918098,1.6450606424192475
Nov 2001,1.713608358409517,1.7267134823037982,1.425453631611988,1.6564258426909322
Dec 2001,1.740698988709058,1.7541349796320356,1.4411196576547032,1.6831435935366157
Jan 2002,1.7400893351697235,1.7535836028349425,1.4371396410810022,1.681738931176114
Feb 2002,1.75570705759065,1.7694028738439385,1.4571447059475795,1.6971220763362924
Mar 2002,1.7808362210904598,1.7946822439539474,1.478842178378096,1.7231337014685846
Apr 2002,1.8145706589775958,1.8284036048356882,1.4954213587962777,1.7550821140619144
May 2002,1.850259776244348,1.8644579663890537,1.5277902376444694,1.7917493002462412
Jun 2002,1.900676187315769,1.915136952736536,1.58221771900352,1.841561562768841
Jul 2002,1.9284657796335245,1.9428775693804923,1.5961933236554453,1.8695565999860588
Aug 2002,1.9704075630339455,1.9844127763265098,1.6519307969986325,1.9107498842583568
