"","Date","England and Wales"
"1",1996-01-01,1.0238445361428
"2",1997-01-01,1.10242820322113
"3",1998-01-01,1.19534854501197
"4",1999-01-01,1.2987730493641
"5",2000-01-01,1.46587840251052
"6",2001-01-01,1.62424575426324
"7",2002-01-01,1.88584748009942
"8",2003-01-01,2.20078149434998
"9",2004-01-01,2.47814919944129
"10",2005-01-01,2.63932409208626
"11",2006-01-01,2.80458016557239
"12",2007-01-01,3.03137570817229
"13",2008-01-01,3.00291485401448
"14",2009-01-01,2.77480666452765
"15",2010-01-01,2.90998635528289
"16",2011-01-01,2.88905455890937
"17",2012-01-01,2.91990529486995
"18",2013-01-01,3.00606417630842
"19",2014-01-01,3.21104703979644
"20",2015-01-01,3.39937795756128
"21",2016-01-01,3.61034208571177
"22",2017-01-01,3.77453806026205
"23",2018-01-01,3.89685212349024
"24",2019-01-01,3.95018186417042
