Date,United Kingdom,England,Wales,London Effect
Feb 1995,1.0103783004817248,1.0111297257297118,0.9882007554104795,1.0080774530791137
Mar 1995,1.0137289036741386,1.014227195244735,0.994142492760246,1.0099168422282305
Apr 1995,1.0095861778213087,1.0103461256293966,0.9864459795016103,1.0046690759805093
May 1995,1.012591402819342,1.0133691122604234,0.9983432510477694,1.0082009767953302
Jun 1995,1.0199776884743121,1.0207469959165172,0.9973611253138813,1.0145489432869925
Jul 1995,1.0064475974584774,1.0071728644545568,0.9860583874713209,1.0008489501320836
Aug 1995,1.007186014605695,1.0077411761919546,0.9892930962114406,1.000466234430409
Sep 1995,1.0150678645854698,1.014987824190814,0.997066847925135,1.0074504843662002
Oct 1995,1.0126658966140316,1.0137480538954304,0.9779810675324301,1.00437082888163
Nov 1995,1.0175420683553569,1.0177615258913884,0.9985066867363788,1.0093804364867989
Dec 1995,1.0256493418200225,1.0266395399930826,0.9893569507235471,1.0160749946041119
Jan 1996,1.0101999921580476,1.0110883657898204,0.9885190606588692,1.0021006828166537
Feb 1996,1.0187026386179892,1.0196679505472945,0.9887310124321957,1.0087690057196295
Mar 1996,1.0231086297498198,1.0236869042509773,0.9882734515390195,1.0127054275981717
Apr 1996,1.0206483981354282,1.0209768417200469,0.9960459849495807,1.0088669245124773
May 1996,1.0271990416703032,1.0282556210946285,0.995170889280939,1.0156775656212536
Jun 1996,1.0365875211010578,1.0376880357794809,1.0016899148951592,1.0248704720956614
Jul 1996,1.0294231835273284,1.030039277380582,1.0065442547019037,1.0173556306667408
Aug 1996,1.0354834532834256,1.036073127727436,1.0055013833872228,1.0224393038841908
Sep 1996,1.0452556423511126,1.0461524861352662,1.011856245400478,1.0320018579734842
Oct 1996,1.0489290635541964,1.0495904817555441,1.0159090921866718,1.0357033208145723
Nov 1996,1.057609666896007,1.0586939097021424,1.0156141311667015,1.0428472820232444
Dec 1996,1.0636846421722193,1.065361224717326,1.0163285022812287,1.049669706997063
Jan 1997,1.0628210241543723,1.064289603137879,1.0197684568744783,1.048805744110362
Feb 1997,1.0714512983095539,1.0727057810927845,1.0247941988289786,1.0563932412120087
Mar 1997,1.0846346774385782,1.0861273649776488,1.030008949720751,1.0687024490337422
Apr 1997,1.0872780905524966,1.0888044257994545,1.0359087988558309,1.070897574289418
May 1997,1.0989669582658053,1.1010458810060282,1.040680729757121,1.0811074653041175
Jun 1997,1.1108314134846065,1.112748598843474,1.0551768732855953,1.092052868736203
Jul 1997,1.112416408966663,1.1147032085106414,1.0478326157008566,1.0928738978554275
Aug 1997,1.1246023239261487,1.1272008228835666,1.0540633577233438,1.1047551767127586
Sep 1997,1.1345269685338812,1.1368393322103691,1.0681887531895031,1.114033736033854
Oct 1997,1.1432577396204082,1.145905828293254,1.0698115530814074,1.1223912661774684
Nov 1997,1.151226655155007,1.1543053890971042,1.066635844509259,1.1302716777859856
Dec 1997,1.1621343390619194,1.165000897172945,1.0815131643422469,1.1394723142525216
Jan 1998,1.1612140599901069,1.1644306347264433,1.0779634187206473,1.1395696478347264
Feb 1998,1.1714604835786548,1.1750289313838524,1.0781869828652257,1.1489757118372248
Mar 1998,1.1794137869174492,1.1826181140975423,1.0900837588138144,1.1556687094781803
Apr 1998,1.1874946088861482,1.1912932068821622,1.0916870964850882,1.1628484924466815
May 1998,1.1978189370787047,1.2014038642160745,1.1019148309146551,1.1720932275270215
Jun 1998,1.2075210620724057,1.2114456649009995,1.106759369520043,1.1817783891083788
Jul 1998,1.2126712059991758,1.2165129608796317,1.1103717244816063,1.1860993988947286
Aug 1998,1.220373225930545,1.2247834563412567,1.1084731454083303,1.1929642456130938
Sep 1998,1.2270014415275872,1.231295277788816,1.115313506184185,1.2001235148419707
Oct 1998,1.2334810400889984,1.2375906137185158,1.1240038257846638,1.206236077219472
Nov 1998,1.2402275459135428,1.2443031967196894,1.1311686494531874,1.213279717647343
Dec 1998,1.2496054079785448,1.2538546185719344,1.1336329268168548,1.2217210295373493
Jan 1999,1.2454937332707008,1.2497759273174296,1.1335331041988648,1.2176179233320625
Feb 1999,1.2529647088194658,1.2573761291716135,1.1327089080678185,1.224172742852133
Mar 1999,1.2620732600840088,1.2668015651528057,1.135713562079208,1.23303718093427
Apr 1999,1.2738371223430194,1.2785527138752297,1.1520101148494155,1.2441402770401053
May 1999,1.2851745037696818,1.2900627719987297,1.155512554964834,1.2541430054064235
Jun 1999,1.2997074670130122,1.3052864895326615,1.157000423432088,1.266504453063862
Jul 1999,1.3094838536091955,1.3150827184739775,1.164618236994264,1.275818835308447
Aug 1999,1.3279333932655433,1.3334677574008964,1.1828946208125128,1.2927908544402815
Sep 1999,1.3411071580985043,1.3475129691874375,1.1826280700478546,1.3046132253241478
Oct 1999,1.3574321200529469,1.3639432058237322,1.1984633459886609,1.319568733864014
